station,name,date,prcp,tavg,tmax,tmin
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-07-30,0.0,90.0,100,80
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-07-31,0.82,79.0,91,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-01,0.0,69.0,75,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-02,0.0,72.5,83,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-03,0.0,74.0,85,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-04,0.0,77.5,90,65
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-05,0.0,78.5,87,70
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-06,0.0,75.5,80,71
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-07,0.0,74.0,81,67
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-08,0.0,72.0,82,62
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-09,0.0,73.5,86,61
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-10,0.0,77.0,91,63
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-11,0.0,78.5,91,66
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-12,0.0,80.0,92,68
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-13,1.26,83.0,93,73
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-14,0.0,82.5,91,74
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-15,0.0,82.5,90,75
USW00014734,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",2025-08-16,0.0,79.5,84,75
